,CREEDS_drug_id,Disease,DOID,Concept_ID,ICD9,,,,,,,,,
166,dz:363,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
167,dz:761,colitis,DOID:0060180,C0009319,558.9,,,,,,,,,
168,dz:518,progressive myoclonus epilepsy,DOID:891,C0751778,345.1,,,,,,,,,
169,dz:1060,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
170,dz:234,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
171,dz:523,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
172,dz:733,large cell neuroendocrine carcinoma,DOID:0050872,,209,,,,,,,,,
173,dz:483,pancreatic cancer,DOID:1793,C0153463,157.9,,,,,,,,,
174,dz:431,lung adenocarcinoma,DOID:3910,C0152013,162.9,,,,,,,,,
175,dz:816,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
176,dz:804,epilepsy syndrome,DOID:1826,C0014544,345.9,,,,,,,,,
177,dz:600,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
178,dz:93,psoriasis vulgaris,EFO:1001494,C0263361,696.1,,,,,,,,,
179,dz:623,testis seminoma,DOID:5842,C0855211,186.9,,,,,,,,,
180,dz:161,Senescence,,C0001792,797,,,,,,,,,
181,dz:17,obesity,DOID:9970,C0028754,278,,,,,,,,,
182,dz:396,Skeletal muscle atrophy,HP:0003202,C0270948,728.2,,,,,,,,,
183,dz:553,stomach cancer,DOID:10534,C0153423,151.9,,,,,,,,,
184,dz:727,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
185,dz:393,endometriosis,DOID:289,C0014175,617,,,,,,,,,
186,dz:703,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
187,dz:583,morbid obesity,DOID:11981,C0028756,278.01,,,,,,,,,
188,dz:944,osteoarthritis,DOID:8398,C0157946,715.96,,,,,,,,,
189,dz:753,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
190,dz:794,Crohn's disease,DOID:8778,C0156146,555.9,,,,,,,,,
191,dz:644,esophagus adenocarcinoma,DOID:4914,C0279628,150.9,,,,,,,,,
192,dz:68,fatty liver disease,DOID:9452,C0015695,571.8,,,,,,,,,
193,dz:348,allergic asthma,DOID:9415,C0155877,493.9,,,,,,,,,
194,dz:45,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
195,dz:494,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
196,dz:855,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
197,dz:126,Werdnig-Hoffmann disease,DOID:13137,C0043116,335,,,,,,,,,
198,dz:405,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
199,dz:627,skin squamous cell carcinoma,DOID:3151,C0553723,173.92,,,,,,,,,
200,dz:360,allergic asthma,DOID:9415,C0155877,493.9,,,,,,,,,
201,dz:1055,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
202,dz:566,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
203,dz:760,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
204,dz:726,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
205,dz:910,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
206,dz:398,adenoviridae infectious disease,MONDO:0043479,C0001486,79,,,,,,,,,
207,dz:196,chronic obstructive pulmonary disease,DOID:3083,C0024117,491.21,,,,,,,,,
208,dz:146,retinoschisis,DOID:8465,C0152439,361.1,,,,,,,,,
209,dz:24,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
210,dz:57,Hypertrophy,,C0020564,,,,,,,,,,
211,dz:561,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
212,dz:117,melanoma,DOID:1909,C0025202,172,,,,,,,,,
213,dz:151,Infertility due to azoospermia,,C1321542,606,,,,,,,,,
214,dz:525,fetal alcohol spectrum disorder,DOID:0050696,,760.71,,,,,,,,,
215,dz:582,nicotine dependence,DOID:0050742,,305.1,,,,,,,,,
216,dz:104,motor neuritis,DOID:683,C0235025,356.9,,,,,,,,,
217,dz:981,atopic dermatitis,DOID:3310,C0011615,691.8,,,,,,,,,
218,dz:638,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
219,dz:491,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
220,dz:729,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
221,dz:1027,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
222,dz:209,hypertension,DOID:10763,C0020538,401,,,,,,,,,
223,dz:868,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
224,dz:859,oligodendroglioma,DOID:3181,C1335110,192.9,,,,,,,,,
225,dz:92,simian acquired immunodeficiency syndrome,DOID:621,C0080151,42,,,,,,,,,
226,dz:462,mental depression,DOID:1596,C0011570,311,,,,,,,,,
227,dz:848,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
228,dz:422,nutritional deficiency disease,MONDO:0006873,C0267975,269.9,,,,,,,,,
229,dz:1063,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
230,dz:199,osteoarthritis,DOID:8398,C0029408,715.96,,,,,,,,,
231,dz:188,ulcerative colitis,DOID:8577,C0009324,556.9,,,,,,,,,
232,dz:509,atopic dermatitis,DOID:3310,C0011615,691.8,,,,,,,,,
233,dz:767,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
234,dz:981,atopic dermatitis,DOID:3310,C0011615,691.8,,,,,,,,,
235,dz:312,Retinal damage,,C0235272,361,,,,,,,,,
236,dz:525,fetal alcohol spectrum disorder,DOID:0050696,,760.71,,,,,,,,,
237,dz:241,pulmonary hypertension,DOID:6432,C0020542,416,,,,,,,,,
238,dz:718,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
239,dz:992,Crohn's disease,DOID:8778,C0156146,555.9,,,,,,,,,
240,dz:892,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
241,dz:556,dengue disease,DOID:12205,C0011311,65.4,,,,,,,,,
242,dz:167,Senescence,,C0001792,797,,,,,,,,,
243,dz:194,chronic lymphocytic leukemia,DOID:1040,C0023458,204.1,,,,,,,,,
244,dz:432,arrhythmogenic right ventricular cardiomyopathy,DOID:0050431,C0349788,425.4,,,,,,,,,
245,dz:9,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
246,dz:604,pancreatic ductal adenocarcinoma,DOID:3498,C1335302,157.3,,,,,,,,,
247,dz:714,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
248,dz:286,Overexertion,,C0161750,E927,,,,,,,,,
249,dz:699,pancreatic ductal adenocarcinoma,DOID:3498,C1335302,157.3,,,,,,,,,
250,dz:238,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
251,dz:447,dengue hemorrhagic fever,DOID:12206,C0019100,65.4,,,,,,,,,
252,dz:430,juvenile rheumatoid arthritis,DOID:676,C0157917,714.3,,,,,,,,,
253,dz:579,arthritis,DOID:848,C0003864,714,,,,,,,,,
254,dz:373,Transplanted Heart Complication,,C0340529,996.83,,,,,,,,,
255,dz:907,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
256,dz:842,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
257,dz:972,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
258,dz:589,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
259,dz:1043,autistic disorder,DOID:12849,C0004352,299,,,,,,,,,
260,dz:541,facioscapulohumeral muscular dystrophy,DOID:11727,C0238288,359.1,,,,,,,,,
261,dz:163,osteoporosis,DOID:11476,C0029456,733,,,,,,,,,
262,dz:157,Human immunodeficiency virus infectious disease,DOID:526,C0019693,42,,,,,,,,,
263,dz:440,Hypoxia,,C0242184,768,,,,,,,,,
264,dz:112,acute myeloid leukemia,DOID:9119,C0023467,205,,,,,,,,,
265,dz:827,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
266,dz:302,bipolar disorder,DOID:3312,C0005586,296.7,,,,,,,,,
267,dz:264,ulcerative colitis,DOID:8577,C0009324,556.9,,,,,,,,,
268,dz:913,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
269,dz:596,Barrett's esophagus,DOID:9206,C0004763,530.85,,,,,,,,,
270,dz:613,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
271,dz:306,papillary thyroid carcinoma,DOID:3969,C0238463,193,,,,,,,,,
272,dz:945,endometriosis,DOID:289,C0014175,617,,,,,,,,,
273,dz:660,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
274,dz:926,allergic contact dermatitis,DOID:3042,C0162820,692.9,,,,,,,,,
275,dz:8,Kidney disorder associated with type 2 diabetes mellitus,,C1720457,250.4,,,,,,,,,
276,dz:1041,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
277,dz:249,ulcerative colitis,DOID:8577,C0009324,556.9,,,,,,,,,
278,dz:835,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
279,dz:444,psoriasis vulgaris,EFO:1001494,C0263361,696.1,,,,,,,,,
280,dz:611,ovarian cancer,DOID:2394,C1299247,183,,,,,,,,,
281,dz:455,retinoblastoma,DOID:768,C0035335,190.5,,,,,,,,,
282,dz:873,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
283,dz:606,invasive ductal carcinoma,DOID:3008,C1527349,174,,,,,,,,,
284,dz:720,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
285,dz:514,swine influenza,DOID:0050211,,488.89,,,,,,,,,
286,dz:1005,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
287,dz:852,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
288,dz:1052,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
289,dz:478,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
290,dz:463,endogenous depression,DOID:1595,C0041696,296.2,,,,,,,,,
291,dz:595,colorectal adenocarcinoma,DOID:0050861,,153.9,,,,,,,,,
292,dz:577,arthritis,DOID:848,C0003864,714,,,,,,,,,
293,dz:470,tendinitis,DOID:971,C0039503,726,,,,,,,,,
294,dz:1071,breast adenocarcinoma,DOID:3458,C0858252,174,,,,,,,,,
295,dz:150,Sepsis,HP:0100806,C0243026,995.91,,,,,,,,,
296,dz:879,relapsing-remitting multiple sclerosis,DOID:2378,C0751967,340,,,,,,,,,
297,dz:846,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
298,dz:905,nephrosclerosis,DOID:11664,C0027719,403.9,,,,,,,,,
299,dz:802,acute myocarditis,DOID:3951,C0155686,422,,,,,,,,,
300,dz:586,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
301,dz:190,Carcinoma in situ of large intestine,,C0686087,153.9,,,,,,,,,
302,dz:401,colitis,DOID:0060180,C0009319,558.9,,,,,,,,,
303,dz:155,scleroderma,DOID:419,C0011644,710.1,,,,,,,,,
304,dz:198,dilated cardiomyopathy,DOID:12930,C0007193,425.4,,,,,,,,,
305,dz:890,Sjogren's syndrome,DOID:12894,C1527336,710.2,,,,,,,,,
306,dz:115,dilated cardiomyopathy,DOID:12930,C0007193,425.4,,,,,,,,,
307,dz:470,tendinitis,DOID:971,C0039503,726,,,,,,,,,
308,dz:869,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
309,dz:150,Sepsis,HP:0100806,C0243026,995.91,,,,,,,,,
310,dz:931,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
311,dz:164,esophagus adenocarcinoma,DOID:4914,C0279628,150.9,,,,,,,,,
312,dz:916,pulmonary sarcoidosis,DOID:13406,C0036205,517.8,,,,,,,,,
313,dz:980,melanoma in situ,,C0346040,179.9,,,,,,,,,
314,dz:518,progressive myoclonus epilepsy,DOID:891,C0751778,345.1,,,,,,,,,
315,dz:656,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
316,dz:409,Gamma-hydroxybutyric acidaemia,,C0268631,279,,,,,,,,,
317,dz:95,megakaryocytic leukemia,DOID:8761,C0023462,207.2,,,,,,,,,
318,dz:253,thrombocytopenia,DOID:1588,C0040034,287.5,,,,,,,,,
319,dz:573,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
320,dz:539,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
321,dz:439,Schistosomiases,,C0036323,120,,,,,,,,,
322,dz:513,pancreatitis,DOID:4989,C0030305,577,,,,,,,,,
323,dz:1004,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
324,dz:622,testis seminoma,DOID:5842,C0855211,186.9,,,,,,,,,
325,dz:47,T-cell large granular lymphocyte leukemia,DOID:0050751,C1522378,204.8,,,,,,,,,
326,dz:891,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
327,dz:448,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
328,dz:895,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
329,dz:874,West Nile fever,DOID:2366,C0043124,66.4,,,,,,,,,
330,dz:817,peripartum cardiomyopathy,DOID:9997,C0877208,674.5,,,,,,,,,
331,dz:673,facioscapulohumeral muscular dystrophy,DOID:11727,C0238288,359.1,,,,,,,,,
332,dz:602,breast cancer,DOID:1612,C1458155,174,,,,,,,,,
333,dz:1038,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
334,dz:349,Intestinal metaplasia of gastric mucosa,,C0267187,537.89,,,,,,,,,
335,dz:783,acute myeloid leukemia,DOID:9119,C0023467,205,,,,,,,,,
336,dz:119,Carcinoma in situ of small intestine,,C0686083,230.7,,,,,,,,,
337,dz:43,Rotavirus infection children,MONDO:0005194,C1442797,8.61,,,,,,,,,
339,dz:363,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
340,dz:665,neurofibromatosis,DOID:8712,C0220695,237.7,,,,,,,,,
341,dz:697,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
342,dz:450,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
343,dz:1035,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
344,dz:604,pancreatic ductal adenocarcinoma,DOID:3498,C1335302,157.3,,,,,,,,,
345,dz:824,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
346,dz:318,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
347,dz:95,megakaryocytic leukemia,DOID:8761,C0023462,207.2,,,,,,,,,
348,dz:576,arthritis,DOID:848,C0003864,714,,,,,,,,,
349,dz:840,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
350,dz:585,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
351,dz:251,oligodendroglioma,DOID:3181,C0028945,192.9,,,,,,,,,
